ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
4,Connected when already disconnected,R3HVAY7P1YX3XA,https://www.amazon.in/gp/customer-reviews/R3HVAY7P1YX3XA/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"Volume, looks, buttons all are absolutely worth the price.But when I've disconnected it-turned it off, my device still shows Connected.Why? It is so irritating and worrisome.Picture-2 you see I am currently using my earbuds only, but the settings say that 2 devices are connectedd. WHYYY","['https://m.media-amazon.com/images/I/412F5SuAhiL._SY88.jpg', 'https://m.media-amazon.com/images/I/41NQeoTDT2L._SY88.jpg']",2024-08-17,61,"Colour: Play (White), Style Name: PLAY",
3,Mivi play Bluetooth speaker,R2X1IH4U4WWGCV,https://www.amazon.in/gp/customer-reviews/R2X1IH4U4WWGCV/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Sound quality,[],2024-11-10,62,"Colour: Play(Black), Style Name: PLAY",
3,Just an average product,R1ZZZMXT07VCNX,https://www.amazon.in/gp/customer-reviews/R1ZZZMXT07VCNX/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Average product,[],2024-11-15,63,"Colour: Play(Orange), Style Name: PLAY",
3,Good Bluetooth Connectivity,R4580APH00ZGG,https://www.amazon.in/gp/customer-reviews/R4580APH00ZGG/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"Good size and very easy to use. Speaker are too cheep and don't have solid sound but like coming out of tin. The build quality could have been better with no space between the plastic joint with hole matching etc. I had a good Bluetooth Connectivity. Charges rether fast.It's worth under Rs.500, so overpriced. Sound is not as claimed. If you raise the volume it's starts to jarr sound starts to jarr.",[],2024-10-10,64,"Colour: Play(Black), Style Name: PLAY",
4,Good,R3NUWUOT4H0SLY,https://www.amazon.in/gp/customer-reviews/R3NUWUOT4H0SLY/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Good,[],2024-09-27,65,"Colour: Play (Blue), Style Name: PLAY",
5,Excellent 👍🏻,R2I1G8SFL9FT3,https://www.amazon.in/gp/customer-reviews/R2I1G8SFL9FT3/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,,"['https://m.media-amazon.com/images/I/612SF7jH-CL._SY88.jpg', 'https://m.media-amazon.com/images/I/61kAI+ljOhL._SY88.jpg']",2024-12-15,66,"Colour: Play(Black), Style Name: PLAY",
4,Average product,R1GXRJ596ZGHDB,https://www.amazon.in/gp/customer-reviews/R1GXRJ596ZGHDB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Not recommended,[],2024-09-23,67,"Colour: Play (Blue), Style Name: PLAY",
5,Small in in size…loud in volume.,R10JM2XB0VQYD5,https://www.amazon.in/gp/customer-reviews/R10JM2XB0VQYD5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,"Very good product….the Bluetooth connectivity is hassle free and smooth… Sound quality is clear and bang on…You can enjoy your favourite music, workout sessions with ease.",[],2024-11-25,68,"Colour: Play (Turquoise), Style Name: PLAY",
5,Best product,RWXPMN44XV3OT,https://www.amazon.in/gp/customer-reviews/RWXPMN44XV3OT/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,Sound and battery backup is best,[],2024-12-11,69,"Colour: Play (Green), Style Name: PLAY",
3,Good product,R28CFG8VN78FS3,https://www.amazon.in/gp/customer-reviews/R28CFG8VN78FS3/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B094RCC4L1,I liked the speakers. But it's costly than what it sells.,[],2024-11-02,70,"Colour: Play(Black), Style Name: PLAY",
