ratingScore,reviewTitle,reviewId,reviewUrl,reviewDescription,reviewImages,date,position,variant,totalCategoryRatings
5,Exceptional sound quality,R1TT6IUG486G5L,https://www.amazon.in/gp/customer-reviews/R1TT6IUG486G5L/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"""I'm blown away by the sound quality of this speaker! It's incredibly clear and detailed, with deep bass that's perfect for music and podcasts. The battery life is also impressive, lasting around 10-12 hours on a single charge. The design is sleek and compact, making it easy to take on the go. I've tried several other Bluetooth speakers in this price range, but this one is hands down the best. Highly recommended!"" , 5.0/5 stars",[],2024-11-22,47,Colour: Jade Black,
5,Nic product,R2B3KWCXWJAIW0,https://www.amazon.in/gp/customer-reviews/R2B3KWCXWJAIW0/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Very nice product,[],2025-01-05,48,Colour: Satin Black,
1,battery backup is too poor,R1FYJ604XYWJ2W,https://www.amazon.in/gp/customer-reviews/R1FYJ604XYWJ2W/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"company provides the speaker upto 6hours backup when it is fully charged ,but when i use it with full charge i get onlye less than 1 1\2 hour battery backup....i have recieved this product only 2 weeks ....please note complaint review and find a solution for this...",[],2024-12-26,73,Colour: Satin Black,
5,Nice product,R2FVE44E258JAI,https://www.amazon.in/gp/customer-reviews/R2FVE44E258JAI/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,A premium looking 40w perty spekar from ptron with rgb light. Decent sound and bass quality at this price range. Its have type c charging and long distance bluetooth connectivity. Very heppy with its mic. Thnq amazon,[],2024-11-19,74,Colour: Satin Black,
5,Amazing Product,R7SIYRIUJCZJ1,https://www.amazon.in/gp/customer-reviews/R7SIYRIUJCZJ1/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Big 40w party spekar, loud and clear sound. Dedicated control panel on top of spekar. Superb build quality. Best portable spekar in this price range.  Also its come with a mic. Value for money product.",[],2024-11-19,75,Colour: Satin Black,
5,Excellent,R31PF4MD1RY5UP,https://www.amazon.in/gp/customer-reviews/R31PF4MD1RY5UP/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Superior audio quality with a strong bass response. Its chic appearance and construction make it ideal for use as a party speaker. Connectivity and pairing are quite simple, and there is adequate battery backup. Good Bluetooth 5.2 version wireless music streaming.",[],2024-11-14,76,Colour: Jade Black,
5,Nice sound and quality,R891FSG636RUW,https://www.amazon.in/gp/customer-reviews/R891FSG636RUW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,The sound of the speaker is very good also its functions very well and its mic is also functioning very effectively and connectivity is very quick and service is also good and it is very easy to use and best part is its sound.its really amazing product in such an affordable price,[],2024-10-29,77,Colour: Satin Black,
5,Awesome Soundbox,RN93OGFY8J0SB,https://www.amazon.in/gp/customer-reviews/RN93OGFY8J0SB/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,This is my first karaoke speaker and I am very happy with the product. The sound is pretty loud and clear. The mic is really good. The Bass Quality is decent. Overall I really like the quality of the soundbox.,"['https://m.media-amazon.com/images/I/71aqWMAdUwL._SY88.jpg', 'https://m.media-amazon.com/images/I/71dt5S+XW6L._SY88.jpg']",2024-11-13,78,Colour: Jade Black,
5,Awesome quality products.,R3TR8RXEW97B8V,https://www.amazon.in/gp/customer-reviews/R3TR8RXEW97B8V/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Sound and bass quality of this PTron Bluetooth Party Speaker is very amazing it's very loud and clear as well it's coming with RGB lights that's looks fantastic it's battery backup also too good really awesome value for money deal highly recommended.,[],2024-11-11,79,Colour: Jade Black,
5,Awesome party speaker,R334E6GD0KQPRR,https://www.amazon.in/gp/customer-reviews/R334E6GD0KQPRR/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Quality speaker with long sound range,super battry backup upto 6 hrs as mentioned in description ,mic also good ,overally satisfied with product",[],2024-11-27,80,Colour: Satin Black,
4,Improve base,R2U5YT3MFWTB0Z,https://www.amazon.in/gp/customer-reviews/R2U5YT3MFWTB0Z/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Base is low.,[],2025-01-29,9,Colour: Jade Black,
3,Good,R3ES4M5RLYNUMS,https://www.amazon.in/gp/customer-reviews/R3ES4M5RLYNUMS/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,This price product is good but battery life is very down,[],2025-01-27,10,Colour: Satin Black,
3,Speaker with Corded Mic,R2NSIQPBCZEPM1,https://www.amazon.in/gp/customer-reviews/R2NSIQPBCZEPM1/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"I recently tried this speaker with a corded microphone, and while it has some good features, there are notable issues with its battery performance when using the mic. The speaker claims a 6-hour playback time, but that only applies when using an SD card—Bluetooth and microphone use drain the battery much faster. Unfortunately, when using the mic, the battery lasts less than an hour.Additionally, if you try to use the mic while the speaker is plugged in for charging, you’ll still face issues. It seems the device’s charging speed is slower than its power consumption rate when the mic is in use. This means that even while charging, the battery drains, leading to a subpar experience.If you are considering this speaker primarily for its microphone functionality, this product may fall short of expectations. Apart from the mic issues, the speaker is an okay product, but not something I would recommend for reliable mic use.",[],2024-11-06,11,Colour: Satin Black,
3,not worth for money,R3BH2TQ6XAN8B2,https://www.amazon.in/gp/customer-reviews/R3BH2TQ6XAN8B2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"look big but less sound and not worth for money, quality of music is not that good",[],2025-01-16,12,Colour: Jade Black,
3,Microphone not working,R2XD7I303PI1T5,https://www.amazon.in/gp/customer-reviews/R2XD7I303PI1T5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,The microphone stopped working after first use,[],2025-01-14,13,Colour: Jade Black,
3,"Okok,Don't except bass, no aux support 🥸",R8U6VG6X0I9AK,https://www.amazon.in/gp/customer-reviews/R8U6VG6X0I9AK/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Just basic bass of a basic speaker. But its loud.sometimes play automaticly even i pause on phone 😄. No option to reduce mic volume. But good to use if you want low budget party speaker",['https://m.media-amazon.com/images/I/71yC2C4BTJL._SY88.jpg'],2024-12-18,14,Colour: Jade Black,
4,Product is good,R39QCLIR81VINF,https://www.amazon.in/gp/customer-reviews/R39QCLIR81VINF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Product is good, like sound, mic, look but battery is not charging overall performance is good",[],2024-12-05,15,Colour: Satin Black,
5,Good Speaker!,R365HNSSPXF2TZ,https://www.amazon.in/gp/customer-reviews/R365HNSSPXF2TZ/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"After using the pTron Fusion Quad V2 for several days here is my review-40w output delivers a powerful sound.-RGB lights create a good party ambiance-its have mic so you can do karaoke-you can customize with 5 equalizer-bluetooth,usb,sd cards are usefulPerfect for small gathering and little parties.","['https://m.media-amazon.com/images/I/61G0Ci+K5lL._SY88.jpg', 'https://m.media-amazon.com/images/I/61lrF8FSeVL._SY88.jpg']",2025-01-05,16,Colour: Satin Black,
2,No support available,R3NCNMGQUSA4IC,https://www.amazon.in/gp/customer-reviews/R3NCNMGQUSA4IC/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     The support system is dodgy You have keep on registering again and again with no response.The cell phone number given for help doesn't exist.It is an invalid number.I don't know whether my speaker is charging or not but am not able to get in touch with anyone",[],2025-01-21,25,Colour: Satin Black,
5,Value fore money,R2XFCHG32P22H2,https://www.amazon.in/gp/customer-reviews/R2XFCHG32P22H2/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"speaker offering punchy sound and rhythmic RGB lights. It includes a 3-meter wired mic, five equalizers, and multiple connectivity options (BT/USB/SD). With Type-C charging and decent battery life, it’s perfect for parties and karaoke sessions. Great value!",[],2025-01-09,26,Colour: Jade Black,
5,Good,R14I5PNG0S6DGL,https://www.amazon.in/gp/customer-reviews/R14I5PNG0S6DGL/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,A good quality party speaker with perfect size. It is very compatible to take anywhere. Looks awesome due to its lights. And it's perfect for home parties,[],2025-01-14,27,Colour: Satin Black,
5,Very good,R3E019ESGYER0E,https://www.amazon.in/gp/customer-reviews/R3E019ESGYER0E/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,Very good and amazing ptron 60w party speaker. Very good sound quality and good connectivity. Battery backup is also good. Very good functionality and performance. For this price range this good and valuable product.,[],2025-01-06,28,Colour: Jade Black,
5,Too good,R3UMVQVFJGXU5F,https://www.amazon.in/gp/customer-reviews/R3UMVQVFJGXU5F/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"It's quality of sound is too good and long battery play time , u can easily connect with any Bluetooth , easy to carry anywhere.",[],2025-01-11,29,Colour: Jade Black,
5,Perfect party play speaker 🔊,R2FZKPIJ497XKN,https://www.amazon.in/gp/customer-reviews/R2FZKPIJ497XKN/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,"Recently I purchase this ptron fusion quad party speaker, it's very useful in party play and bluetooth connectivity is also too good. Speaker provide following functionality like Equalizer, wired mic, RGB lights, etc. I kindly recommend you to buy this value for money product.",['https://m.media-amazon.com/images/I/71UciV0yrsL._SY88.jpg'],2025-01-01,30,Colour: Satin Black,
5,Smooth Sound,R16LQA41E1XRXG,https://www.amazon.in/gp/customer-reviews/R16LQA41E1XRXG/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0DH2KTW84,I have purchased this speaker for home devotional function and small party. We enjoyed a lot at party while playing karaoke with this speaker the sound quality and parity with mic sync easily,"['https://m.media-amazon.com/images/I/61NQSsNHw4L._SY88.jpg', 'https://m.media-amazon.com/images/I/61hCHIoNxyL._SY88.jpg']",2025-01-05,31,Colour: Satin Black,
